port_agency_cd,port_agency_nm,entry_year,entry_count,callsgn,vessel_name,nationality_cd,nationality_nm,ship_kind_cd,ship_kind_nm,entry_purpose_cd,entry_purpose_nm,origin_port_cd,origin_port_nm,prev_port_cd,prev_port_nm,next_port_cd,next_port_nm,dest_port_cd,dest_port_nm,source_system,source_table,collected_at_utc,quality_flag,is_synthetic,ship_kind_category,is_liquid_cargo_vessel,is_domestic_voyage,port_agency_label
820,울산,2026,34,130064,에이원,KR,대한민국,52,석유제품 운반선,02,양하,KRPUS,부산,KRPUS,부산,KRPUS,부산,KRPUS,부산,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,화물/시멘트선,False,True,울산항
820,울산,2026,10,170022,이에스 릴리,KR,대한민국,52,석유제품 운반선,03,적하,KRUSN,울산,KRPUS,부산,,,,,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,화물/시멘트선,False,True,울산항
820,울산,2026,24,211024,디엘 앰버,KR,대한민국,52,석유제품 운반선,02,양하,KRTSN,대산,KRTSN,대산,KRPUS,부산,KRPUS,부산,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,화물/시멘트선,False,True,울산항
820,울산,2026,7,240030,스프링 알파,KR,대한민국,53,케미칼 운반선,02,양하,KRYOS,여수,KRYOS,여수,KRYOS,여수,KRYOS,여수,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,목재선,False,True,울산항
820,울산,2026,18,3E8387,SUNNY ORCHID,PA,파나마,41,풀컨테이너선,01,양적하,KRYMH,영일만항,KRPUS,부산,KRKAN,광양,KRKAN,광양,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,기타/불명,False,True,울산항
820,울산,2026,46,DSQF4,케이티에스 화이트,KR,대한민국,52,석유제품 운반선,02,양하,KRYOS,여수,KRYOS,여수,KRYOS,여수,KRYOS,여수,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,화물/시멘트선,False,True,울산항
820,울산,2026,17,5LNE2,PEGASUS GRACE,LR,라이베리아,41,풀컨테이너선,03,적하,KRPUS,부산,KRPUS,부산,KRKAN,광양,KRPUS,부산,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,기타/불명,False,True,울산항
820,울산,2026,2,ZCSP6,STOLT EFFORT,KY,케이맨 제도,52,석유제품 운반선,03,적하,TWMLI,MAI-LIAO,TWMLI,MAI-LIAO,JPYOK,YOKOHAMA,JPYOK,YOKOHAMA,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,화물/시멘트선,False,False,울산항
820,울산,2026,21,000637,울산107호,KR,대한민국,69,기타 예선,02,양하,KRUSN,울산,KRDBL,대불,KRMOK,목포,KRUSN,울산,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,기타/불명,False,True,울산항
820,울산,2026,20,922517,울산109호,KR,대한민국,69,기타 예선,02,양하,KRUSN,울산,KRDBL,대불,KRMOK,목포,KRUSN,울산,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,기타/불명,False,True,울산항
820,울산,2026,1,3E2477,SUN NEPTUNE,PA,파나마,52,석유제품 운반선,03,적하,KRYOS,여수,KRYOS,여수,JPUKB,KOBE,JPUKB,KOBE,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,화물/시멘트선,False,True,울산항
820,울산,2026,1,V7A4044,DELAVITA,MH,마샬 제도,21,산물선(벌크선),02,양하,CLCOL,CALETA COLOSO,CLCOL,CALETA COLOSO,CNQIN,QINGDAO,CNQIN,QINGDAO,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,기타/불명,False,False,울산항
820,울산,2026,5,T8A5548,SKY ALICE,PA,파나마,39,일반화물선,03,적하,CNNSA,NANSHA PT,CNNSA,NANSHA PT,,,,,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,기타/불명,False,False,울산항
820,울산,2026,4,CQCL,POLAR,PT,포르투갈,55,LPG 운반선,01,양적하,IDBXT,"BONTANG, KL",TWTXG,TAICHUNG,,,,,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,LPG선,True,False,울산항
820,울산,2026,34,166803,7미르,KR,대한민국,52,석유제품 운반선,03,적하,KRZZZ,기타항,KRPUS,부산,KRZZZ,기타항,KRPUS,부산,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,화물/시멘트선,False,True,울산항
820,울산,2026,1,LATA8,BOW ENDEAVOR,NO,노르웨이,52,석유제품 운반선,03,적하,CNNTG,NANTONG,CNNTG,NANTONG,KRYOS,여수,KRYOS,여수,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,화물/시멘트선,False,False,울산항
820,울산,2026,4,D7TL,제3그린파이오니어,KR,대한민국,53,케미칼 운반선,02,양하,IDBPN,BALIKPAPAN,IDBPN,BALIKPAPAN,OCZZZ,OCEAN DISTRICT,OCZZZ,OCEAN DISTRICT,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,목재선,False,False,울산항
